"","type","ESG_risk_category","metric","ret","SE","low","high"
"85","+4","High","AAR",-0.000122760333182477,0.000342519182626442,-0.000794097931130304,0.000548577264765349
"86","+4","High","CAAR",0.0035690304054768,0.00138707422372402,0.000850364926977723,0.00628769588397587
"87","+4","Low","AAR",-7.79559465461005e-05,0.000177415276480215,-0.000425689888447321,0.00026977799535512
"88","+4","Low","CAAR",0.000415347816137312,0.000616301926752926,-0.000792603960298422,0.00162329959257305
"89","+4","Medium","AAR",-0.000154347653658731,0.000174828706630517,-0.000497011918654546,0.000188316611337083
"90","+4","Medium","CAAR",0.00148069748351715,0.000670901790681448,0.000165729973781513,0.00279566499325279
"91","+5","High","AAR",-0.00028463662728031,0.000375758620152607,-0.00102112352277942,0.0004518502682188
"92","+5","High","CAAR",0.00328439377819649,0.00144283299892943,0.000456441100294803,0.00611234645609817
"93","+5","Low","AAR",0.00042452042080785,0.000164198526127875,0.000102691309597216,0.000746349532018484
"94","+5","Low","CAAR",0.000839868236945162,0.00063117468495543,-0.00039723414556748,0.0020769706194578
"95","+5","Medium","AAR",-0.000128599172988353,0.000174405002457044,-0.000470432977804159,0.000213234631827453
"96","+5","Medium","CAAR",0.0013509884886942,0.00069098606724781,-3.34420311150804e-06,0.00270532118049991
"97","+6","High","AAR",-9.11597499617834e-05,0.000354874094089912,-0.00078671297437801,0.000604393474454444
"98","+6","High","CAAR",0.00319323402823471,0.00149207865495994,0.000268759864513228,0.00611770819195618
"99","+6","Low","AAR",-3.57910942958289e-05,0.000170356783021026,-0.000369690389017041,0.000298108200425383
"100","+6","Low","CAAR",0.000804077142649333,0.000649464757837697,-0.000468873782712553,0.00207702806801122
"101","+6","Medium","AAR",-0.000295292746487867,0.000170712110733331,-0.000629888483525197,3.93029905494627e-05
"102","+6","Medium","CAAR",0.00105569574220633,0.000706426461547443,-0.000328900122426655,0.00244029160683932
"103","+7","High","AAR",-0.000657434835199277,0.000343599258028504,-0.00133088938093515,1.60197105365909e-05
"104","+7","High","CAAR",0.00253579919303543,0.00152722867978901,-0.000457569019351031,0.00552916740542189
"105","+7","Low","AAR",0.000151158504013006,0.000172502996914934,-0.000186947369940264,0.000489264377966276
"106","+7","Low","CAAR",0.000955235646662339,0.000669530924484519,-0.000357044965327317,0.002267516258652
"107","+7","Medium","AAR",-0.000280502236294915,0.00016948781787162,-0.00061269835932329,5.16938867334602e-05
"108","+7","Medium","CAAR",0.000775193505911418,0.000722312332774295,-0.000640538666326201,0.00219092567814904
"109","+8","High","AAR",-8.33959028798338e-05,0.000358973395380356,-0.000786983757825331,0.000620191952065664
"110","+8","High","CAAR",0.00245240329015559,0.00154544088400185,-0.00057666084248803,0.00548146742279922
