",""type"",""ESG_risk_category"",""metric"",""ret"",""SE"",""low"",""high"""
"173,""+9"",""High"",""AAR"",0.0022530084649131,0.00104994364663707,0.000310612718634533,0.00419540421119168"
"174,""+9"",""High"",""CAAR"",-0.0026352165689719,0.00508783793350236,-0.0120477167459513,0.00677728360800746"
"175,""+9"",""Low"",""Relative # events"",0.0012267981156642,NA,NA,NA"
"176,""+9"",""Low"",""AAR"",-0.000461764834184929,0.00104632794265026,-0.0023974715280879,0.00147394185971805"
"177,""+9"",""Low"",""CAAR"",-0.0163868238462271,0.00389292343341143,-0.0235887321980382,-0.00918491549441594"
"178,""+9"",""Medium"",""Relative # events"",0.001674347217712,NA,NA,NA"
"179,""+9"",""Medium"",""AAR"",0.000200541560662297,0.000622616088190897,-0.000951298202490862,0.00135238132381546"
"180,""+9"",""Medium"",""CAAR"",-0.0045853385960582,0.00288655249886924,-0.0099254607189663,0.000754783526849896"
"181,""+10"",""High"",""Relative # events"",0.00215868069406268,NA,NA,NA"
"182,""+10"",""High"",""AAR"",0.000320844673588487,0.00108119837944637,-0.00167937232838729,0.00232106167556426"
"183,""+10"",""High"",""CAAR"",-0.00231437189538342,0.00509738010012859,-0.0117445250806213,0.00711578128985448"
"184,""+10"",""Low"",""Relative # events"",0.00135088776896832,NA,NA,NA"
"185,""+10"",""Low"",""AAR"",4.27468502100933e-05,0.00100457672308597,-0.00181572008749896,0.00190121378791914"
"186,""+10"",""Low"",""CAAR"",-0.0171137273563987,0.00401869060453707,-0.0245483049747923,-0.0096791497380051"
"187,""+10"",""Medium"",""Relative # events"",0.00167937904595742,NA,NA,NA"
"188,""+10"",""Medium"",""AAR"",-0.000125266079454025,0.000667559729412288,-0.00136025157886676,0.00110971941995871"
"189,""+10"",""Medium"",""CAAR"",-0.00471060467551222,0.00301947088776102,-0.0102966258178701,0.000875416466845661"
